Qtde.;CÓD. IBGE;Município;População IBGE/2019;VALOR                                        R$
2;2300150;Acarape;14929;"24864,25"
9;2300754;Amontada;43452;"72369,31"
11;2300903;Apuiarés;14600;"24316,3"
12;2301000;Aquiraz;80271;"133691,35"
14;2301208;Aracoiaba;26469;"44084,12"
17;2301406;Aratuba;11847;"19731,18"
24;2301950;Barreira;22425;"37348,84"
27;2302107;Baturité;35750;"59541,63"
28;2302206;Beberibe;53573;"89225,83"
35;2302909;Capistrano;17738;"29542,64"
41;2303501;Cascavel;71743;"119487,97"
44;2303709;Caucaia;361400;"601911,7"
48;2303956;Chorozinho;20264;"33749,69"
56;2304285;Eusébio;53618;"89300,78"
59;2304400;Fortaleza;2669342;"4445787,5"
62;2304608;General Sampaio;7618;"12687,78"
67;2304954;Guaiúba;26064;"43409,59"
69;2305100;Guaramiranga;5193;"8648,94"
71;2305233;Horizonte;67337;"112149,77"
86;2306256;Itaitinga;37980;"63255,69"
87;2306306;Itapajé;52675;"87730,21"
88;2306405;Itapipoca;129358;"215445,75"
89;2306504;Itapiúna;20382;"33946,22"
104;2307650;Maracanaú;227886;"379544,13"
105;2307700;Maranguape;128978;"214812,86"
113;2308377;Miraíma;13818;"23013,88"
125;2309458;Ocara;25703;"42808,35"
127;2309607;Pacajus;72203;"120254,1"
128;2309706;Pacatuba;83432;138956
129;2309805;Pacoti;12261;"20420,7"
132;2310100;Palmácia;13322;"22187,79"
133;2310209;Paracuru;35076;"58419,08"
134;2310258;Paraipaba;32744;"54535,13"
139;2310704;Pentecoste;37751;"62874,29"
141;2310852;Pindoretama;20567;"34254,34"
153;2311603;Redenção;29053;"48387,77"
162;2312403;São Gonçalo do Amarante;48422;"80646,84"
164;2312601;São Luís do Curu;13000;"21651,5"
173;2313351;Tejuçuóca;19187;"31955,95"
175;2313500;Trairi;55918;"93131,43"
176;2313559;Tururu;16271;"27099,35"
179;2313757;Umirim;19825;"33018,54"
180;2313807;Uruburetama;21850;"36391,18"
